calendar_date,observation_count,active_stations,min_timestamp,max_timestamp,pm25_mean,year,month,sampling_role
2020-01-01,1,1,2020-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,12.3,2020,1,Historical Anchor Seed
2025-01-01,120,5,2025-01-01 00:30:00+00:00,2025-01-01 23:30:00+00:00,114.825,2025,1,Peak Winter Pollution Benchmark
2025-01-02,116,5,2025-01-02 00:30:00+00:00,2025-01-02 23:30:00+00:00,120.56896551724138,2025,1,Peak Winter Pollution Benchmark
2025-01-03,96,5,2025-01-03 02:30:00+00:00,2025-01-03 23:30:00+00:00,147.57291666666666,2025,1,Peak Winter Pollution Benchmark
2025-01-04,91,4,2025-01-04 00:30:00+00:00,2025-01-04 23:30:00+00:00,165.82417582417582,2025,1,Peak Winter Pollution Benchmark
2025-01-05,69,3,2025-01-05 00:30:00+00:00,2025-01-05 23:30:00+00:00,123.8695652173913,2025,1,Peak Winter Pollution Benchmark
2025-01-06,80,4,2025-01-06 00:30:00+00:00,2025-01-06 23:30:00+00:00,110.6375,2025,1,Peak Winter Pollution Benchmark
2025-01-07,95,4,2025-01-07 00:30:00+00:00,2025-01-07 23:30:00+00:00,103.97894736842105,2025,1,Peak Winter Pollution Benchmark
2025-01-08,109,5,2025-01-08 00:30:00+00:00,2025-01-08 23:30:00+00:00,105.46788990825688,2025,1,Peak Winter Pollution Benchmark
2025-01-09,120,5,2025-01-09 00:30:00+00:00,2025-01-09 23:30:00+00:00,140.08333333333334,2025,1,Peak Winter Pollution Benchmark
2025-01-10,116,5,2025-01-10 00:30:00+00:00,2025-01-10 23:30:00+00:00,132.98275862068965,2025,1,Peak Winter Pollution Benchmark
2025-01-11,119,5,2025-01-11 00:30:00+00:00,2025-01-11 23:30:00+00:00,121.42857142857143,2025,1,Peak Winter Pollution Benchmark
2025-01-12,106,5,2025-01-12 00:30:00+00:00,2025-01-12 23:30:00+00:00,126.00943396226415,2025,1,Peak Winter Pollution Benchmark
2025-01-13,113,5,2025-01-13 00:30:00+00:00,2025-01-13 23:30:00+00:00,115.34513274336283,2025,1,Peak Winter Pollution Benchmark
2025-01-14,109,5,2025-01-14 00:30:00+00:00,2025-01-14 23:30:00+00:00,118.09174311926606,2025,1,Peak Winter Pollution Benchmark
2025-01-15,100,5,2025-01-15 00:30:00+00:00,2025-01-15 23:30:00+00:00,121.94,2025,1,Peak Winter Pollution Benchmark
2025-01-16,118,5,2025-01-16 00:30:00+00:00,2025-01-16 23:30:00+00:00,115.99152542372882,2025,1,Peak Winter Pollution Benchmark
2025-01-17,120,5,2025-01-17 00:30:00+00:00,2025-01-17 23:30:00+00:00,120.55833333333334,2025,1,Peak Winter Pollution Benchmark
2025-01-18,119,5,2025-01-18 00:30:00+00:00,2025-01-18 23:30:00+00:00,135.76470588235293,2025,1,Peak Winter Pollution Benchmark
2025-01-19,119,5,2025-01-19 00:30:00+00:00,2025-01-19 23:30:00+00:00,130.6890756302521,2025,1,Peak Winter Pollution Benchmark
2025-01-20,100,5,2025-01-20 00:30:00+00:00,2025-01-20 23:30:00+00:00,125.6,2025,1,Peak Winter Pollution Benchmark
2025-01-21,120,5,2025-01-21 00:30:00+00:00,2025-01-21 23:30:00+00:00,113.60833333333333,2025,1,Peak Winter Pollution Benchmark
2025-01-22,106,5,2025-01-22 00:30:00+00:00,2025-01-22 23:30:00+00:00,110.4622641509434,2025,1,Peak Winter Pollution Benchmark
2025-01-23,95,4,2025-01-23 00:30:00+00:00,2025-01-23 23:30:00+00:00,74.9578947368421,2025,1,Peak Winter Pollution Benchmark
2025-01-24,106,5,2025-01-24 00:30:00+00:00,2025-01-24 23:30:00+00:00,86.78301886792453,2025,1,Peak Winter Pollution Benchmark
2025-01-25,117,5,2025-01-25 00:30:00+00:00,2025-01-25 23:30:00+00:00,91.06837606837607,2025,1,Peak Winter Pollution Benchmark
2025-01-26,120,5,2025-01-26 00:30:00+00:00,2025-01-26 23:30:00+00:00,84.71666666666667,2025,1,Peak Winter Pollution Benchmark
2025-01-27,116,5,2025-01-27 00:30:00+00:00,2025-01-27 23:30:00+00:00,97.57758620689656,2025,1,Peak Winter Pollution Benchmark
2025-01-28,96,4,2025-01-28 00:30:00+00:00,2025-01-28 23:30:00+00:00,115.20833333333333,2025,1,Peak Winter Pollution Benchmark
2025-01-29,104,5,2025-01-29 00:30:00+00:00,2025-01-29 23:30:00+00:00,124.14423076923077,2025,1,Peak Winter Pollution Benchmark
2025-01-30,109,5,2025-01-30 00:30:00+00:00,2025-01-30 23:30:00+00:00,99.76146788990826,2025,1,Peak Winter Pollution Benchmark
2025-01-31,100,5,2025-01-31 03:30:00+00:00,2025-01-31 23:30:00+00:00,82.53,2025,1,Peak Winter Pollution Benchmark
2026-07-13,8,8,2026-07-13 19:00:00+00:00,2026-07-13 19:00:00+00:00,169.2875,2026,7,Realtime Stream Sample
