column_name,data_type,null_count,missing_percentage,min_value,max_value,description,data_provider
station,str,8,0.24,N/A,N/A,Feature station in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
last_update,str,8,0.24,N/A,N/A,Feature last_update in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
PM2.5,float64,0,0.0,0.0,442.0,Feature PM2.5 in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
PM10,float64,3325,99.76,29.15,438.61,Feature PM10 in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
NO2,float64,3325,99.76,17.93,71.77,Feature NO2 in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
SO2,float64,3325,99.76,5.33,28.77,Feature SO2 in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
CO,float64,3325,99.76,0.13,3.56,Feature CO in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
O3,float64,3325,99.76,46.36,115.58,Feature O3 in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
AQI,float64,8,0.24,0.0,426.0,Feature AQI in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
PM2.5_outlier,bool,0,0.0,N/A,N/A,Feature PM2.5_outlier in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
PM10_outlier,bool,0,0.0,N/A,N/A,Feature PM10_outlier in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
NO2_outlier,bool,0,0.0,N/A,N/A,Feature NO2_outlier in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
SO2_outlier,bool,0,0.0,N/A,N/A,Feature SO2_outlier in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
CO_outlier,bool,0,0.0,N/A,N/A,Feature CO_outlier in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
O3_outlier,bool,0,0.0,N/A,N/A,Feature O3_outlier in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
AQI_outlier,object,8,0.24,N/A,N/A,Feature AQI_outlier in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
PM2.5_unit,str,0,0.0,N/A,N/A,Feature PM2.5_unit in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
PM10_unit,str,0,0.0,N/A,N/A,Feature PM10_unit in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
NO2_unit,str,0,0.0,N/A,N/A,Feature NO2_unit in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
SO2_unit,str,0,0.0,N/A,N/A,Feature SO2_unit in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
CO_unit,str,0,0.0,N/A,N/A,Feature CO_unit in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
O3_unit,str,0,0.0,N/A,N/A,Feature O3_unit in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
AQI_unit,str,8,0.24,N/A,N/A,Feature AQI_unit in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
timestamp_utc,"datetime64[us, UTC]",0,0.0,N/A,N/A,Feature timestamp_utc in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
station_id,str,0,0.0,N/A,N/A,Feature station_id in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
location,str,3325,99.76,N/A,N/A,Feature location in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
utc_time,str,3325,99.76,N/A,N/A,Feature utc_time in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
Temperature,float64,9,0.27,289.50284,305.87347,Feature Temperature in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
Relative Humidity,float64,9,0.27,30.0,70.0,Feature Relative Humidity in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
Boundary Layer Height,float64,9,0.27,400.0,1200.0,Feature Boundary Layer Height in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
Surface Pressure,float64,9,0.27,100651.57,102137.805,Feature Surface Pressure in ARD v2,CPCB/OpenAQ/ERA5/Sentinel-5P/MODIS/GIS
